rank,asin,title,brand,price,currency,rating,review_count,category,subcategory,badge,image_url,product_url,scraped_at,page_number,title_word_count,has_price,price_tier,review_tier
1,B0GRTTKNJ7,"BANGLESKART Kashmiri Ghangharoo Glass Bangle Set for Women| Light Weight Bangles | Traditional Transparent Fancy Glass Chudi Set for Wedding, Party(Set Of 18)",BANGLESKART,470.0,INR,2.2,8,Jewellery,Jewellery,,"https://images-eu.ssl-images-amazon.com/images/I/61FppLENO+L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/BANGLESKART-Kashmiri-Ghangharoo-Traditional-Transparent/dp/B0GRTTKNJ7/ref=zg_bs_g_jewelry_d_sccl_1/520-1768322-3985620?psc=1,2026-03-24T12:42:02.916000,1,23,True,budget,new
2,B0DQ1R6FC6,ONFLOW 12-Color Indian Glass Bangles Set for Women - Traditional Ethnic Bangles with Golden bindi Design - Stylish and Festive Accessories,ONFLOW,350.0,INR,3.9,184,Jewellery,Jewellery,,"https://images-eu.ssl-images-amazon.com/images/I/71yRFpulYVL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/ONFLOW-12-Color-Indian-Glass-Bangles/dp/B0DQ1R6FC6/ref=zg_bs_g_jewelry_d_sccl_2/520-1768322-3985620?psc=1,2026-03-24T12:42:02.917095,1,21,True,budget,medium
3,B0DYVPP86H,Shining Diva Fashion 5 Pcs Latest Stylish Heart Butterfly Pearl Necklace Jewellery Set for Women Pendant Necklace Gifts for Girls (16476np),Shining,299.0,INR,3.7,569,Jewellery,Jewellery,,"https://images-eu.ssl-images-amazon.com/images/I/713ZDAwhQuL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Shining-Diva-Fashion-Butterfly-16476np/dp/B0DYVPP86H/ref=zg_bs_g_jewelry_d_sccl_3/520-1768322-3985620?psc=1,2026-03-24T12:42:02.918164,1,21,True,budget,medium
4,B0D3DCP7JQ,Shining Diva Fashion 5 Pcs Combo Latest Stylish Infinity Butterfly Pearl Necklace Jewellery Set for Women Pendant Necklace Gifts for Girls (15911np),Shining,299.0,INR,3.8,1435,Jewellery,Jewellery,,"https://images-eu.ssl-images-amazon.com/images/I/71R2QnSdv+L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Shining-Diva-Fashion-Butterfly-15911np/dp/B0D3DCP7JQ/ref=zg_bs_g_jewelry_d_sccl_4/520-1768322-3985620?psc=1,2026-03-24T12:42:02.919236,1,22,True,budget,high
5,B0GQN2Z7KM,"KAYASHA Kashmiri Ghangharoo Glass Bangle Set for Women| Light Weight Bangles | Traditional Transparent Fancy Glass Chudi Set for Wedding, Party(Set Of 16)",KAYASHA,499.0,INR,4.2,22,Jewellery,Jewellery,,"https://images-eu.ssl-images-amazon.com/images/I/61VpKEFUhKL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/KAYASHA-Kashmiri-Ghangharoo-Traditional-Transparent/dp/B0GQN2Z7KM/ref=zg_bs_g_jewelry_d_sccl_5/520-1768322-3985620?psc=1,2026-03-24T12:42:02.920302,1,23,True,budget,low
6,B0FTG4DP8M,"JPS Plain and Glossy Finished Raindrop Glass Bangles Set for Women & Girls | Traditional Ethnic Chudi for Wedding, Party & Regular- Set of 12 Pcs of One Colour | Wedding Special",JPS,249.0,INR,3.8,96,Jewellery,Jewellery,,"https://images-eu.ssl-images-amazon.com/images/I/81G4wH99nEL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/JPS-Finished-Raindrop-Traditional-Regular/dp/B0FTG4DP8M/ref=zg_bs_g_jewelry_d_sccl_6/520-1768322-3985620?psc=1,2026-03-24T12:42:02.921404,1,32,True,budget,low
7,B0DTTXM92H,"Astrotalk Dhan Yog Bracelet | Attracts Wealth & Financial Prosperity | Pyrite, Citrine, & Aventurine bracelet | Astrology Dhanyog Bracelet for Men & Women | Certificate of Authenticity",Astrotalk,699.0,INR,3.8,1156,Jewellery,Jewellery,,"https://images-eu.ssl-images-amazon.com/images/I/51rJFrlBC3L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Astrotalk-Prosperity-Aventurine-Certificate-Authenticity/dp/B0DTTXM92H/ref=zg_bs_g_jewelry_d_sccl_7/520-1768322-3985620?psc=1,2026-03-24T12:42:02.922796,1,28,True,mid,high
8,B0GR6JBWP7,Swara Creations Kashmiri Ghungroo Raindrop Bangles Combo Set | for Women and Girls|Set of 16 Pcs (SKU417),Swara,599.0,INR,4.5,2,Jewellery,Jewellery,,"https://images-eu.ssl-images-amazon.com/images/I/81k-Pc0Km+L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Swara-Creations-Kashmiri-Ghungroo-Raindrop/dp/B0GR6JBWP7/ref=zg_bs_g_jewelry_d_sccl_8/520-1768322-3985620?psc=1,2026-03-24T12:42:02.923932,1,17,True,mid,new
9,B0BWJ5MFRY,Shining Diva Fashion 26 Pcs Colorful Hair Accessories Hair Clips for Girls Kids Baby Girl Toddlers Women Hairband Hair Band Ties,Shining,299.0,INR,4.3,1514,Jewellery,Jewellery,,"https://images-eu.ssl-images-amazon.com/images/I/81WZQlUV40L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Shining-Diva-Fashion-Accessories-14711hb/dp/B0BWJ5MFRY/ref=zg_bs_g_jewelry_d_sccl_9/520-1768322-3985620?psc=1,2026-03-24T12:42:02.925034,1,21,True,budget,high
10,B071CMQ6N2,YouBella Jewellery Bracelets for Women Stylish Rose Gold Plated Crystal Bracelet Bangle Jewellery for Girls and Women,YouBella,186.0,INR,3.9,13211,Jewellery,Jewellery,,"https://images-eu.ssl-images-amazon.com/images/I/71P8z0DrFRL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/YouBella-Plated-Bracelet-Golden-YBBN_91340A/dp/B071CMQ6N2/ref=zg_bs_g_jewelry_d_sccl_10/520-1768322-3985620?psc=1,2026-03-24T12:42:02.926104,1,17,True,budget,high
11,B0FF4M8YZK,"Astrotalk Raw Pyrite Anklet | Stone of Money, Protection & Power | Pyrite Anklet for Women | Best Gift Items | Spiritual Jewellery for Women",Astrotalk,899.0,INR,3.5,280,Jewellery,Jewellery,,"https://images-eu.ssl-images-amazon.com/images/I/71UOnQoZsTL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Astrotalk-Pyrite-Protection-Spiritual-Jewellery/dp/B0FF4M8YZK/ref=zg_bs_g_jewelry_d_sccl_11/520-1768322-3985620?psc=1,2026-03-24T12:42:02.927726,1,25,True,mid,medium
12,B0FT8NVZSP,"AVORA Raw Pyrite Anklet for Women | Natural Stone Jewellery for Wealth, Luck & Protection | Certified Crystal | Spiritual Healing Jewellery Gift for Girls & Women | Adjustable Payal Bracelet",AVORA,275.0,INR,4.1,237,Jewellery,Jewellery,,"https://images-eu.ssl-images-amazon.com/images/I/61p4KJh1GJL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/AVORA-Jewellery-Protection-Certified-Adjustable/dp/B0FT8NVZSP/ref=zg_bs_g_jewelry_d_sccl_12/520-1768322-3985620?psc=1,2026-03-24T12:42:02.929701,1,31,True,budget,medium
13,B0DFCKWRBM,"Nilu's Collection Infinity Shape Cubic Zirconia Diamond Bracelet for Women Jewelry for Gift, Adjustable Charm Bracelet",Nilu's,285.0,INR,4.2,251,Jewellery,Jewellery,,"https://images-eu.ssl-images-amazon.com/images/I/51FoiQVzWWL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Nilus-Collection-Infinity-Zirconia-Adjustable/dp/B0DFCKWRBM/ref=zg_bs_g_jewelry_d_sccl_13/520-1768322-3985620?psc=1,2026-03-24T12:42:02.931456,1,16,True,budget,medium
14,B0CV3T1WBB,Fashion Frill Silver Chain For Men Stylish Stainless Steel Bar Pendant Necklace Silver Chain Pendant For Men Boys Love Gifts Mens Jewellery,Fashion,219.0,INR,4.2,557,Jewellery,Jewellery,,"https://images-eu.ssl-images-amazon.com/images/I/313sr5mjCEL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Fashion-Frill-Stainless-Pendant-Jewellery/dp/B0CV3T1WBB/ref=zg_bs_g_jewelry_d_sccl_14/520-1768322-3985620?psc=1,2026-03-24T12:42:02.933217,1,22,True,budget,medium
15,B0GRN3B5QD,"Samyak Hair Clips for Girls – Multicolor Small Butterfly Jaw Clips for Kids Hair Styling, Cute Hair Accessories for Navratri Kanjak Return Gifts (12 Sets)",Samyak,249.0,INR,,,Jewellery,Jewellery,,"https://images-eu.ssl-images-amazon.com/images/I/71uRcF27t9L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Samyak-Hair-Clips-Girls-Accessories/dp/B0GRN3B5QD/ref=zg_bs_g_jewelry_d_sccl_15/520-1768322-3985620?psc=1,2026-03-24T12:42:02.935465,1,25,True,budget,
